POST	api/v1/dialer/worker/calls/generate-cxml	dialer.worker.calls.generate-cxml	App\Http\Controllers\DialerWorkerController@generateCxml	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
POST	api/v1/dialer/worker/calls/initiate	dialer.worker.calls.initiate	App\Http\Controllers\DialerWorkerController@initiateCall	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
POST	api/v1/dialer/worker/calls/{session}/disposition	dialer.worker.calls.disposition	App\Http\Controllers\DialerWorkerController@setDisposition	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
PATCH	api/v1/dialer/worker/calls/{session}/status	dialer.worker.calls.status	App\Http\Controllers\DialerWorkerController@updateCallStatus	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
GET|HEAD	api/v1/dialer/worker/campaigns/active	dialer.worker.campaigns.active	App\Http\Controllers\DialerWorkerController@getActiveCampaigns	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
GET|HEAD	api/v1/dialer/worker/campaigns/{campaign}/destinations/pending	dialer.worker.destinations.pending	App\Http\Controllers\DialerWorkerController@getPendingDestinations	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
GET|HEAD	api/v1/dialer/worker/campaigns/{campaign}/destinations/retry	dialer.worker.destinations.retry	App\Http\Controllers\DialerWorkerController@getRetryDestinations	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
POST	api/v1/dialer/worker/campaigns/{campaign}/pause	dialer.worker.campaigns.pause	App\Http\Controllers\DialerWorkerController@pauseCampaign	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
GET|HEAD	api/v1/dialer/worker/health	dialer.worker.health	App\Http\Controllers\DialerWorkerController@health	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
POST	api/v1/dialer/worker/state/persist	dialer.worker.state.persist	App\Http\Controllers\DialerWorkerController@persistState	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
GET|HEAD	api/v1/dialer/worker/state/{workerId}	dialer.worker.state.get	App\Http\Controllers\DialerWorkerController@getState	api,App\Http\Middleware\DialerWorkerAuth,Illuminate\Routing\Middleware\ThrottleRequests:dialer-worker
GET|HEAD	api/v1/extensions	extensions.index	App\Http\Controllers\Api\ExtensionCrudController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
